transaction_id,customer_id,amount,currency,payment_method,card_bin,issuing_bank,card_type,checkout_abandoned,reached_payment_page,payment_pending,pending_duration_minutes,failed_payment,decline_reason,decline_code,failure_timestamp,day_of_week,day_of_month,is_near_payday,retry_attempt_number,consecutive_failure_count,escalated_to_human,customer_tenure_days,customer_ltv,prior_failed_payments_count,prior_retry_success_rate,retry_timestamp,hours_since_failure,payment_status,recovered
698858841793,cust_vUYcfZi13ALy9B,1208.65,INR,upi,,,,False,,False,,False,,,,,,,,,False,501,2433.47,4,,,,success,False
513073523783,cust_fKS5bOePcetit9,4109.14,INR,card,417612,Kotak,debit,True,True,False,,False,,,,,,,,,False,16,562.7,3,0.39,,,unrecovered,False
021947233781,cust_l30zyShn4cFAUj,1889.83,INR,netbanking,,,,False,,False,,True,insufficient_funds,51,2026-05-05 05:00:00,Tuesday,5.0,True,1.0,1.0,False,407,1523.72,1,0.08,2026-05-05 12:36:00,7.6,recovered,True
689536358477,cust_dA56dAaSOAXZiY,1356.71,INR,upi,,,,False,,False,,True,server_timeout,TO1,2026-04-12 09:00:00,Sunday,12.0,False,2.0,2.0,False,65,2188.32,0,0.67,2026-04-12 09:12:00,0.2,unrecovered,False
668826249715,cust_apqXd34b6yfWcU,1589.81,INR,upi,,,,False,,False,,True,insufficient_funds,51,2026-06-14 04:00:00,Sunday,14.0,False,3.0,3.0,True,472,3909.87,1,,2026-06-14 22:18:00,18.3,escalated,False
940884753371,cust_r97QMHv4Y6aWiG,3995.35,INR,card,607332,SBI,credit,False,,False,,False,,,,,,,,,False,600,4396.36,0,0.16,,,success,False
595284232568,cust_3Uji4PJyuGxYx1,757.46,INR,card,607332,SBI,credit,False,,False,,True,risk_hold,59,2026-03-03 01:00:00,Tuesday,3.0,True,1.0,1.0,False,150,1217.58,1,0.12,2026-03-03 21:12:00,20.2,unrecovered,False
337874506755,cust_eiGw0GRdJ0IpIX,1057.91,INR,upi,,,,False,,False,,False,,,,,,,,,False,31,7497.9,0,0.6,,,success,False
534109687845,cust_N1m4Yrpw2cBdVc,2603.41,INR,card,524105,Axis,credit,True,False,False,,False,,,,,,,,,False,1022,4059.87,2,0.44,,,unrecovered,False
275346392817,cust_t8kg9SSN1ByqRi,801.83,INR,upi,,,,False,,True,13.4,False,,,,,,,,,False,133,1183.3,1,0.21,,,recovered,True
492516967818,cust_JqmV2DJlxkqXvR,709.64,INR,card,508228,ICICI,credit,False,,False,,True,insufficient_funds,51,2026-06-05 02:00:00,Friday,5.0,True,1.0,1.0,False,69,842.86,0,0.42,2026-06-05 06:54:00,4.9,unrecovered,False
015888449917,cust_liDBMYKJQSzLWQ,1199.23,INR,wallet,,,,False,,False,,True,card_expired,54,2026-05-09 09:00:00,Saturday,9.0,False,1.0,1.0,False,671,3141.77,1,,,,unrecovered,False
821832404534,cust_INWiD3h9Cp6WNc,1231.98,INR,netbanking,,,,False,,False,,True,card_expired,54,2026-04-15 02:00:00,Wednesday,15.0,False,1.0,1.0,False,590,653.41,0,0.22,,,unrecovered,False
804644134037,cust_DfI2Sgos1GewwG,1791.2,INR,wallet,,,,False,,False,,True,insufficient_funds,51,2026-03-26 23:00:00,Thursday,26.0,True,1.0,1.0,False,860,660.11,2,0.71,2026-03-27 09:06:00,10.1,unrecovered,False
692657628334,cust_skQwnYdlZeRvGP,802.44,INR,card,400013,HDFC,credit,False,,False,,True,insufficient_funds,51,2026-06-23 09:00:00,Tuesday,23.0,False,1.0,1.0,False,182,5583.39,0,0.58,2026-06-24 16:42:00,31.7,unrecovered,False
132034685861,cust_H9rnkPMm99uR7D,511.08,INR,card,400012,HDFC,credit,False,,False,,True,card_limit_exceeded,61,2026-04-15 09:00:00,Wednesday,15.0,False,3.0,3.0,False,1172,1790.52,1,0.16,2026-04-15 09:30:00,0.5,recovered,True
369631260609,cust_g2drd3azfeXSeC,1101.75,INR,card,417612,Kotak,debit,False,,False,,False,,,,,,,,,False,176,430.69,0,0.59,,,success,False
042749606761,cust_ykn0tJ5wlG0NdJ,738.26,INR,upi,,,,True,False,False,,False,,,,,,,,,False,267,3403.65,1,0.24,,,unrecovered,False
104122659336,cust_B52zTD26FeEvvH,1886.14,INR,upi,,,,False,,False,,True,card_expired,54,2026-03-29 15:00:00,Sunday,29.0,True,1.0,1.0,False,597,1476.57,1,0.32,,,unrecovered,False
744568441719,cust_moOlYdP2wnulMf,1522.81,INR,card,417612,Kotak,debit,False,,False,,True,insufficient_funds,51,2026-07-27 03:00:00,Monday,27.0,True,2.0,2.0,False,313,3167.46,0,,2026-07-27 12:06:00,9.1,recovered,True
206053254125,cust_UN7EojvEpnyUXD,392.65,INR,card,400014,HDFC,debit,False,,False,,False,,,,,,,,,False,613,3002.91,0,0.6,,,success,False
240758932198,cust_wbNINk3GGsk5ho,806.21,INR,card,417612,Kotak,credit,False,,False,,False,,,,,,,,,False,280,5409.67,2,0.41,,,success,False
129296099580,cust_Uq2iM2MP89lBHP,2718.86,INR,card,400013,HDFC,credit,True,False,False,,False,,,,,,,,,False,41,2579.84,3,0.56,,,unrecovered,False
850516683012,cust_YCgugml2cG7DvA,653.19,INR,upi,,,,False,,False,,False,,,,,,,,,False,925,3873.8,2,0.32,,,success,False
900353886090,cust_kqDfz1aMM4wVpr,597.01,INR,upi,,,,False,,False,,False,,,,,,,,,False,234,3872.95,3,0.59,,,success,False
093034174384,cust_CaKxeuhYSaS5pg,1934.41,INR,card,400012,HDFC,credit,False,,False,,False,,,,,,,,,False,6,5566.01,0,0.43,,,success,False
976951063896,cust_ZPhoEJtRQGxkvU,997.77,INR,card,607331,SBI,credit,True,False,False,,False,,,,,,,,,False,210,3588.28,1,0.24,,,unrecovered,False
280749036618,cust_bAMeo6CYshAMq7,792.46,INR,netbanking,,,,True,False,False,,False,,,,,,,,,False,519,1517.69,0,0.57,,,unrecovered,False
725019183521,cust_Wi5PBH17MjoKwW,580.76,INR,upi,,,,False,,False,,False,,,,,,,,,False,128,2106.48,1,,,,success,False
713770150484,cust_5MeO9IhWYvvOIw,1400.2,INR,card,417612,Kotak,debit,False,,False,,False,,,,,,,,,False,129,3571.12,1,,,,success,False
397419108947,cust_7OXXk6aKKVOXjF,1521.67,INR,card,607331,SBI,credit,False,,False,,True,server_timeout,TO1,2026-03-05 12:00:00,Thursday,5.0,True,1.0,1.0,False,96,4119.91,1,0.66,2026-03-12 04:00:00,160.0,unrecovered,False
418871024575,cust_qM7j8InZjfZoTY,1638.11,INR,netbanking,,,,False,,False,,False,,,,,,,,,False,83,1795.6,3,0.29,,,success,False
088710941404,cust_B9ksHZp98vBJ7n,987.04,INR,netbanking,,,,False,,False,,False,,,,,,,,,False,490,1485.63,2,0.09,,,success,False
480120110258,cust_ERnhU9gclGr0ov,893.64,INR,upi,,,,False,,False,,False,,,,,,,,,False,28,1257.48,2,0.15,,,success,False
953215582038,cust_KvlHGyxUoxhYZm,1039.36,INR,upi,,,,True,False,False,,False,,,,,,,,,False,375,1404.06,1,0.49,,,recovered,True
751080515414,cust_V7nXUHaNlbRKBw,1068.43,INR,card,400013,HDFC,debit,False,,False,,False,,,,,,,,,False,246,633.57,2,,,,success,False
856505098762,cust_kPvktP7KbnyZ1F,626.0,INR,upi,,,,False,,False,,False,,,,,,,,,False,699,1283.48,3,0.38,,,success,False
408533876093,cust_EogQqeGOeT16vo,2197.65,INR,netbanking,,,,False,,False,,True,insufficient_funds,51,2026-05-25 08:00:00,Monday,25.0,True,2.0,2.0,False,204,12296.67,0,0.24,2026-05-25 17:48:00,9.8,unrecovered,False
846263673212,cust_zS7HSix9wVO14t,821.23,INR,card,508228,ICICI,credit,False,,False,,False,,,,,,,,,False,263,3853.61,1,0.15,,,success,False
790518498623,cust_t8kg9SSN1ByqRi,2615.27,INR,card,524105,Axis,credit,False,,False,,False,,,,,,,,,False,133,1183.3,2,0.21,,,success,False
630768344425,cust_r81ZdDbSJGgBQY,1219.73,INR,card,417612,Kotak,debit,True,True,False,,False,,,,,,,,,False,196,1237.15,1,0.83,,,unrecovered,False
314081861416,cust_xluVm0t2Ksse2q,2613.39,INR,netbanking,,,,False,,False,,False,,,,,,,,,False,77,1800.91,2,0.63,,,success,False
472590509866,cust_fYqK8rcqANkUlQ,1417.74,INR,card,524104,Axis,debit,False,,False,,False,,,,,,,,,False,14,339.71,1,0.05,,,success,False
469353882064,cust_jLLQWc4LoTjW4j,3222.54,INR,netbanking,,,,False,,False,,True,server_timeout,TO1,2026-04-06 00:00:00,Monday,6.0,False,1.0,1.0,False,381,557.0,2,0.94,2026-04-06 12:12:00,12.2,recovered,True
167982918891,cust_InK792WBxIcshO,1476.0,INR,card,607332,SBI,debit,False,,False,,False,,,,,,,,,False,510,1311.77,2,,,,success,False
605336512269,cust_wROedXeWjqMH7Q,867.95,INR,netbanking,,,,True,False,False,,False,,,,,,,,,False,470,2748.8,1,,,,recovered,True
399229973211,cust_SvG6Ydkj7I711V,1816.86,INR,upi,,,,False,,False,,True,insufficient_funds,51,2026-04-09 15:00:00,Thursday,9.0,False,1.0,1.0,False,63,3494.05,2,0.44,2026-04-09 22:00:00,7.0,recovered,True
165764841025,cust_XbSw5uhI6rwLIc,1255.84,INR,netbanking,,,,False,,False,,False,,,,,,,,,False,196,2868.77,2,0.16,,,success,False
552413632377,cust_AYIn7ojP1pH6mM,935.54,INR,wallet,,,,True,False,False,,False,,,,,,,,,False,102,2814.75,0,,,,unrecovered,False
502245232803,cust_ANmiWj4zqgSNp4,268.49,INR,upi,,,,False,,False,,True,card_expired,54,2026-05-17 19:00:00,Sunday,17.0,False,1.0,1.0,False,279,7172.07,1,,,,recovered,True
125328900651,cust_WIdAYhnfQ25rbd,1563.79,INR,card,524104,Axis,debit,False,,False,,False,,,,,,,,,False,49,2922.41,2,0.18,,,success,False
900346486564,cust_cR0UiAMiSmckev,279.35,INR,card,417612,Kotak,debit,False,,False,,False,,,,,,,,,False,14,2357.29,1,0.33,,,success,False
